instance_id,canonical_smiles
CHEMBL516635,Clc1cccc(c1)n2cc(nn2)c3ccccc3NCc4ccnc5ccccc45
CHEMBL2332792,Cc1cccc(c1)C2CC2NCCO[C@H]3CNC[C@H]3Cc4cc(C)cc(N)n4
CHEMBL1525072,Cc1onc(c1C(=O)OCC(=O)c2c(C)[nH]c3ccccc23)c4c(F)cccc4Cl
CHEMBL3951517,COCCNCc1ccc(cc1)C(=O)Nc2sc(nc2C(=O)N)c3ccncc3
CHEMBL131949,OC(=O)CCCCO\N=C(/c1ccccc1)\c2cncnc2
CHEMBL1341396,CCc1cccc(NC(=O)CN2C(=O)Oc3cc(ccc23)S(=O)(=O)N4CCOCC4)c1
CHEMBL1951291,CN1CCN(Cc2ccc(cc2)c3cc(Cl)c(c(Cl)c3)S(=O)(=O)Nc4c(C)nn(C)c4C)CC1
CHEMBL286161,CCOC(=O)c1ccc(cc1)C(N2CCN(CC=C)CC2)c3ccccc3
CHEMBL576231,Cc1nc2cc(ccc2s1)c3nnn(c3C)c4cccnc4
CHEMBL1390841,Cc1cccc(NC(=O)CCN2CCOCC2)c1
CHEMBL39532,NC(Cc1nc2ccccc2n1CP(=O)(O)O)C(=O)O
CHEMBL3084817,O=C(CN[C@]12C[C@H]3C[C@@H](C1)C[C@](C3)(C2)OC(=O)NC4CCCCC4)N5CCC[C@H]5C#N
CHEMBL3927130,C[C@H](Nc1nc(N)nc(N)c1C#N)C2=Nc3cccc(c3C(=O)N2c4cccnc4)C(F)(F)F
CHEMBL3684926,CC(O)[C@H]1CNC[C@@H](O)[C@@H]1O
CHEMBL3702114,C(N1CCNCC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2
CHEMBL1834437,CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccc(F)cc3)nc2)C(=O)O
CHEMBL25205,CC1CCN(CCCOc2ccc(cc2)c3ccc(cc3)C(=O)N4[C@@H](C)CC[C@@H]4C)CC1
CHEMBL1503301,CCOC(=O)c1c(NC(=O)C)sc2c(O)c(Br)ccc12
CHEMBL1516835,COc1ccc(cc1CSc2ccccn2)C3Nc4ccccc4C(=O)N3Cc5ccccc5
CHEMBL3680631,CC#CCn1c(nc2N(C)C(=O)N(Cc3cc(C#N)c4ccccc4n3)C(=O)c12)N5CCC[C@H](C5)NC(=O)OC(C)(C)C
CHEMBL382789,CCCc1c(OCCCN(C)c2ccc(CC(=O)O)c(c2)C(F)(F)F)ccc3c(noc13)C(F)(F)F
CHEMBL1224371,CC(C)(C)C(=O)Nc1ccc2ncn(Cc3cccc(c3)c4cccc5OCOc45)c2c1
CHEMBL570108,CCCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2nc(cc(n2)c3ccccc3)N4CCN(CC4)C(=O)C
CHEMBL557032,O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4onc(n4)c5cnccn5
CHEMBL386281,Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5C=CC(=O)Oc5c4)CC3
CHEMBL2158069,CCCOc1cc(ccc1OC)[C@H]2CNC(=O)C2
CHEMBL3924193,COc1ccc(Oc2nc3ccccc3nc2C(=O)Nc4cccc(c4)S(=O)(=O)N)cc1F
CHEMBL591686,Clc1cnc(Oc2ccc(CC3SC(=O)NC3=O)cc2)c(Cl)c1
CHEMBL1544968,CN1C(=O)Oc2cc(ccc12)S(=O)(=O)NCCC(=O)N3CCC(=CC3)c4ccccc4
CHEMBL1088848,Fc1ccc(CN2C(=O)Cc3cccc(\C=C\C(=O)NS(=O)(=O)c4cccc(Cl)c4)c23)cc1F
CHEMBL202723,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(CC1(C)C)C(=O)c2cccnc2)C(=O)C(=O)N[C@H](C)c3ccccc3
CHEMBL3915971,COc1ccc(CCCO)cc1NC(=O)c2cnn3cccnc23
CHEMBL208457,CNc1ccc(\C=C\C=C\C=C\c2ccc(NC)cc2)cc1
CHEMBL1440156,O=C(CSc1nc2cc3OCCOc3cc2cc1C#N)N4CCCC4
CHEMBL1835761,O=C(N[C@@H]1CCCc2cc(CN3CCCCC3)ccc12)c4ccc(cc4)C5=CSc6ccccc6C5=O
CHEMBL3199821,Cc1ccccc1\C=N\n2c(S)nnc2COc3ccccc3
CHEMBL3679250,CCCC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCNCC4)c5cc(F)c(O)c(Cl)c5
CHEMBL271759,Brc1ccccc1NC(=O)c2nc3ccccc3n4cncc24
CHEMBL3144850,COc1cccc(CN2NC(=C(Cc3ccc4OCOc4c3)C2=O)c5ccc(cc5)[N+](=O)[O-])c1
CHEMBL3098851,OC(=O)c1ccc(CN2\C(=N\c3ccccc3)\S\C(=C/c4cccc(OCCc5ccccc5)c4)\C2=O)cc1
CHEMBL3700512,OC(=O)c1ccc2c(c1)nc(Nc3cc(F)cc(F)c3)c4ccsc24
CHEMBL2323501,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c3ccc(Oc4ccccc4)cc3)cn2C(=O)c5ccc(Cl)cc5
CHEMBL1504858,CCOC(=O)N1CCN(CC1)C(=S)NC(=O)c2ccc(Br)cc2
CHEMBL1079557,Clc1ccc(CNC(=O)C[C@@H]2C\C=C\CCCCC(=O)OCCNC2=O)cc1
CHEMBL219011,C[C@H]1CN2CCCC[C@@H]2C[C@@]1(C)c3cccc(O)c3
CHEMBL1773115,Cc1onc(NC(=O)CS(=O)(=O)c2cn(Cc3cc(ccc3F)c4cn[nH]c4)c5ccccc25)c1
CHEMBL133433,CCCN(CCC)C[C@@H]1C[C@@H]1c2ccccc2O
CHEMBL3827363,Nc1ccc(cc1NC(=O)C2COc3ccccc3C2)c4ccc(F)cc4
CHEMBL1578505,COc1ccc(cc1)C(N(Cc2ccccc2)C(=O)c3nsc(Cl)c3Cl)C(=O)NC4CCCC4
CHEMBL1522133,CCN1C(=S)NC(=O)\C(=C/c2ccc3N(CCCCl)CCc3c2)\C1=O
CHEMBL4103188,CNC(=O)Cn1ncc2nccc(Nc3cc(ncc3C)c4cc(C)ccc4F)c12
CHEMBL3656015,ONC(=O)c1cnc(NC2(CC2)c3cc(Cl)cc(Cl)c3)nc1
CHEMBL3674305,CN(C)CC1CCN(CC1)c2c(cnc3ccc(cc23)c4ccc(O)c(c4)C(F)(F)F)C(=O)C5CC5
CHEMBL57494,COc1ccc2sc(cc2c1)C3CCN(C[C@H](O)COc4cccc5[nH]ccc45)CC3
CHEMBL200028,CC(C)(C)c1nc(cc(n1)C(F)(F)F)N2CCN(CCCCN3C=CC(=NC3=O)c4ccccc4)CC2
CHEMBL245966,CCNC(=O)c1cncc(\C=C\c2c[nH]nc2c3nc4ccc(OC)cc4[nH]3)c1
CHEMBL213416,CNC[C@H](Cc1ccccc1)N(C)C[C@@H](Cc2ccc(O)cc2)N(C)C[C@@H](Cc3ccc(O)cc3)N(C)C
CHEMBL1760426,CCCCN(c1cccc(c1C)c2ccc(C)cc2)S(=O)(=O)c3ccc(OC(C)C(=O)O)c(C)c3C
CHEMBL59271,CN(CCc1ccccn1)c2cc(cc(n2)c3ccc(O)c(C)c3)c4ccccc4
CHEMBL1532220,Cn1cc(CCNC(=O)c2ccc3nc(Cc4ccccc4F)oc3c2)cn1
CHEMBL1945037,O[C@@H](CNCCc1cccc(CNCCCc2ccccc2)c1)c3ccc(O)c4NC(=O)Sc34
CHEMBL3771012,CCOc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1
CHEMBL3984395,COC(=O)Nc1n[nH]c2cc(NC(=O)NCc3ccccc3OC(F)F)ncc12
CHEMBL1576671,Cl.N=C1SC=CN1CC(=O)Nc2ccccc2Sc3ccccc3
CHEMBL3963858,COC1CCCC(C1)c2cnc(N)c(n2)c3ccc(C(=O)NCc4ccccc4)c(F)c3
CHEMBL2260476,O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3cc(O)c(O)c4C(=O)C(=CC=Cc34)O
CHEMBL1472004,COc1ccccc1NS(=O)(=O)c2ccc(Cl)c(NC(=S)NC(=O)C3CCCC3)c2
CHEMBL3628706,NC(=N)NC(=N)NCc1ccccc1
CHEMBL1304360,O=C(CNc1ccccc1)NN=C2CCCC2
CHEMBL440520,CSCC[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](NCc3c[nH]cn3)C(C)C)C(=O)O
CHEMBL212667,Cc1cccc(COc2ccc(Br)cc2Cn3nc(cc3C)C(=O)O)c1
CHEMBL3400206,CCC(C)CNCCN(C(=O)[C@@H]1C[C@H]1c2ccccc2)c3ccc(cc3)c4ccccc4
CHEMBL2431203,C[C@@H](NC(=O)c1ccc(cn1)C#CC2CC2)C(C)(C)O
CHEMBL1405858,[O-][N+](=O)c1ccc(cc1N2CCOCC2)N3CCN(CC3)C(=O)c4cccc(F)c4
CHEMBL3918651,CC1(O)CCN(CC1)C(=O)c2ccc(nc2)c3cc4c(ccnc4[nH]3)c5cccc(N6CCOc7cc(ccc7C6=O)C8CC8)c5CO
CHEMBL1418311,COc1ccc(cc1OC)S(=O)(=O)N(CCc2ccccc2)CC(=O)Nc3ccc(C)c(C)c3
CHEMBL1452843,CC(C)c1cc(nc(N)n1)C(=O)N2CCc3c([nH]c4ccccc34)C2c5cccc(C)n5
CHEMBL1299969,CN1CCN(CC1)C(=O)c2cc(Cl)ccc2Cl
CHEMBL228815,CC(=O)N1N=C(C[C@H]1c2ccccc2)c3cc(F)ccc3F
CHEMBL1571869,Cc1ccc(SCc2cc(O)nc(Nc3nc(C)c4ccccc4n3)n2)cc1
CHEMBL1223420,CNC(=O)[C@H](NC(=O)c1oc(cc1)c2cccc(CNC(=O)c3ccnc(Cl)n3)c2)C4CCCCC4
CHEMBL1528034,OC(=O)CCCC(=O)Nc1ccc(OCc2nc3ccccc3s2)cc1
CHEMBL100965,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](N)Cc2ccccc2)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3ccccc3)C(=O)N
CHEMBL1513149,CC(C)(C)OC1C2C(CC(O)CC=C)C3C(C2CC(O)CC=C)C13
CHEMBL444620,COC(=O)CN1C(=O)C2(CCN(Cc3ccc4ccccc4c3)CC2)c5ccccc15
CHEMBL239353,CC(C)c1ccc(cc1)c2ncc(C)c(n2)N(C)CCCOc3ccc4[C@H](CC(=O)O)CCc4c3
CHEMBL333309,Cc1nc2cc(C(=O)c3ccc(Nc4ccc(F)cc4F)nc3)c(Cl)cc2[nH]1
CHEMBL1323799,O=C(OCc1nc2ccccc2s1)c3cccc(c3)S(=O)(=O)N4CCOCC4
CHEMBL4107869,Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCC[C@@](C)(O)C5
CHEMBL4080925,NC1=NC(=CN2C(=O)N(N=C12)c3ccccc3)c4ccccc4
CHEMBL372895,O=C(NC1CN2CCC1CC2)c3csc(n3)c4ccccc4
CHEMBL242937,C[C@@H](N1CC=CC[C@H](NC(=O)c2ccc3ccccc3c2)C1=O)C(=O)N[C@H]4CC(=O)OC4O
CHEMBL135198,CCOC(=O)C(Cc1ccc(cc1)C(=N)N)NC(=O)CNS(=O)(=O)c2ccc(cc2)C#N
CHEMBL2397380,Cl.CN1CCc2ccc(C)c3c2[C@H]1Cc4ccc(O)c(O)c34
CHEMBL3981461,CC(=O)N1CCN(CC1)C(=O)N2CC[C@](C2)(c3ccc(cc3)C(OCC4CCN(C4)C(=O)OC(C)(C)C)(C(F)(F)F)C(F)(F)F)S(=O)(=O)c5ccc(F)cc5
CHEMBL247718,FC(F)(F)Oc1ccc2C(=N)N(Cc3cccc(Cl)c3)Cc2c1
CHEMBL443643,CCCC(CCC)C(=O)OCC1(CO)C\C(=C\c2ccncc2)\C(=O)O1
CHEMBL3192479,FC(F)(F)c1ccccc1\C=N\n2c(S)nnc2C3CCCCC3
CHEMBL1311615,COc1ccc(CCC(C)Nc2ccc(F)c(F)c2)cc1
CHEMBL3685708,Nc1nn(CCN2CCOCC2)c(N)c1c3nc4ccccc4s3
CHEMBL1382512,CCCN1C(=O)c2ccccc2n3c(SCN4C(=O)c5ccccc5C4=O)nnc13
CHEMBL3655081,CCCS(=O)(=O)N[C@@H]1C[C@@H](C1)N(C)c2ncnc3[nH]ccc23
CHEMBL358644,NC(=S)C1=Cc2ccc(O)cc2OC1=O
CHEMBL306001,COc1ccccc1c2ccc(C[C@H](NC(=O)Cc3ccccc3Cl)C(=O)O)cc2
CHEMBL322291,OC(=O)C1C=CCN2N1C(=O)N(CS)C2=O
CHEMBL387783,Cc1cccc(c1)c2c(C)c3C(=O)N(CCc3n2c4ccc(Cl)cc4Cl)C5CCCCC5
CHEMBL3642027,COC(=O)CNC1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2
CHEMBL1204401,Cl.FC(F)(F)c1ccc(Nc2ncnc3cc(ccc23)c4ncccc4C(F)(F)F)cn1
CHEMBL101785,COc1ccc(cc1)\C(=C\CCCCC(=O)O)\c2cccnc2
CHEMBL3898993,CNc1nc2ccc(F)cc2n1c3nc4N5CCOC[C@H]5COc4c(n3)C6(CCC6)S(=O)(=O)C
CHEMBL4096682,CCN(CC)C1CCN(C1)C(=O)c2cc(OCc3onc(C)c3)n(n2)c4ccc(cc4)C#N
CHEMBL462192,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CCCN(C)CC4)ncc2F
CHEMBL1684064,CN1C(=O)C=C(Nc2ccc(I)cc2F)C3=C1N=CN(C[C@H](O)CO)C3=O
CHEMBL3911782,O=C(CN1C(=O)COc2ccccc12)N3CCN(CC3)c4scnc4c5nc6ccccc6[nH]5
CHEMBL3681339,CC(C)(C)n1c(nc2cc(ccc12)c3cnc(N)nc3)c4ccccc4C(=O)NC5CCNCC5
CHEMBL3703724,COc1ccc(cc1)c2nn([C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5CCN(Cc25)C(=O)C
